county_fips,county_name,state,county_lat,county_lon,nearest_hospital_miles,nearest_hospital_minutes_est
08013,Boulder County,CO,40.094971,-105.39771,10.122215137406434,17.352368806982458
08014,Broomfield County,CO,39.953877,-105.050898,2.211625891895664,3.791358671821139
08015,Chaffee County,CO,38.734599,-106.300025,58.896169806220854,100.96486252495004
08017,Cheyenne County,CO,38.835646,-102.601791,13.300314231224593,22.800538682099305
08019,Clear Creek County,CO,39.689403,-105.670783,23.19882662496978,39.769417071376765
08021,Conejos County,CO,37.213406,-106.176447,24.082555502969356,41.28438086223318
08023,Costilla County,CO,37.277547,-105.42894,28.314381411225966,48.53893956210166
08025,Crowley County,CO,38.30618,-103.772736,25.709937601147246,44.074178744823854
08027,Custer County,CO,38.101996,-105.373512,25.605874997675716,43.895785710301226
08029,Delta County,CO,38.861423,-107.865043,12.678930035153524,21.735308631691755
08031,Denver County,CO,39.76185,-104.881105,2.5168887091641494,4.314666358567113
08033,Dolores County,CO,37.733823,-108.506219,48.30974189414502,82.81670038996289
08035,Douglas County,CO,39.325414,-104.925987,5.935032514622708,10.174341453638927
08037,Eagle County,CO,39.626992,-106.695169,16.702984796822914,28.633688223124995
08039,Elbert County,CO,39.315157,-104.114076,41.506286948544485,71.1536347689334
08041,El Paso County,CO,38.8311,-104.527681,12.625877840105828,21.64436201160999
08043,Fremont County,CO,38.45517,-105.424958,10.497301139511436,17.995373382019604
08045,Garfield County,CO,39.599352,-107.90978,31.642402962379983,54.24411936407997
08047,Gilpin County,CO,39.861156,-105.528878,18.84728442320322,32.309630439776946
08049,Grand County,CO,40.113065,-106.110837,10.115119675404154,17.34020515783569
08051,Gunnison County,CO,38.670499,-107.05688,45.800078624090304,78.51442049844051
08053,Hinsdale County,CO,37.811519,-107.383974,46.566930307849056,79.8290233848841
08055,Huerfano County,CO,37.687815,-104.959928,41.962283960260436,71.93534393187502
08057,Jackson County,CO,40.663432,-106.329248,29.001596794468462,49.71702307623165
